Startup Name,Industry,Funding Rounds,Funding Amount (M USD),Valuation (M USD),Revenue (M USD),Employees,Market Share (%),Profitable,Year Founded,Region,Exit Status
Startup_1,IoT,1,101.09,844.75,67.87,1468,5.2,0,2006,Europe,Private
Startup_2,EdTech,1,247.62,3310.83,75.65,3280,8.1,1,2003,South America,Private
Startup_3,EdTech,1,109.24,1059.37,84.21,4933,2.61,1,1995,South America,Private
Startup_4,Gaming,5,10.75,101.9,47.08,1059,2.53,0,2003,South America,Private
Startup_5,IoT,4,249.28,850.11,50.25,1905,4.09,0,1997,Europe,Acquired
Startup_6,AI,5,103.89,1541.76,12.56,1462,8.96,1,2004,Europe,IPO
Startup_7,Gaming,4,232.26,1039.51,38.6,1404,0.1,0,2016,Australia,Private
Startup_8,HealthTech,5,109.15,630.19,64.37,3420,9.02,1,2002,Australia,IPO
Startup_9,Gaming,5,258.39,935.47,78.06,447,1.62,0,2020,North America,Acquired
Startup_10,FinTech,3,66.24,707.45,21.8,3655,9.9,0,1995,Europe,Private
Startup_11,AI,5,292.38,1665.52,13.87,4657,9.55,0,1994,Europe,Private
Startup_12,FinTech,2,234.04,1207.68,66.34,1183,5.0,0,2011,Europe,Private
Startup_13,IoT,3,34.71,141.02,0.29,4463,5.18,1,2012,Australia,Acquired
Startup_14,Cybersecurity,5,169.95,720.54,17.92,1262,4.87,0,2014,South America,Acquired
Startup_15,FinTech,1,295.62,2960.94,3.0,3639,6.39,1,2015,Asia,Acquired
Startup_16,HealthTech,2,141.58,1593.98,16.77,1846,1.0,1,1994,Australia,Private
Startup_17,Gaming,2,55.04,427.58,18.21,2314,0.42,0,2015,Europe,Private
Startup_18,Cybersecurity,2,145.69,1276.06,38.83,915,0.67,1,2009,Australia,Private
Startup_19,Gaming,3,153.98,1729.44,40.29,4345,4.5,0,1995,North America,Acquired
Startup_20,FinTech,5,222.64,714.35,87.44,4642,2.83,0,1995,Europe,Private
Startup_21,Gaming,5,209.8,1442.91,51.06,4014,6.26,1,2007,North America,Private
Startup_22,IoT,1,121.06,1776.82,72.37,2174,9.93,0,1993,Europe,Private
Startup_23,Cybersecurity,1,65.8,655.46,10.5,2177,3.92,0,2006,Australia,Private
Startup_24,IoT,2,193.69,1171.96,22.62,128,5.78,0,2003,South America,Private
Startup_25,FinTech,1,126.8,1174.26,70.32,3163,4.21,0,2003,Asia,Acquired
Startup_26,IoT,3,40.12,285.33,5.38,790,8.49,1,2002,North America,Acquired
Startup_27,HealthTech,5,270.22,2536.54,48.71,2421,9.03,1,1996,Australia,Private
Startup_28,FinTech,2,207.52,935.69,59.98,801,8.79,1,2004,South America,IPO
Startup_29,FinTech,1,205.11,941.98,60.25,4177,9.75,1,2008,Australia,Acquired
Startup_30,FinTech,3,246.86,1165.8,2.39,4159,0.37,0,2006,North America,Acquired
Startup_31,AI,3,159.13,2272.03,32.28,1941,8.41,0,2008,Asia,Acquired
Startup_32,Gaming,1,244.61,2885.12,63.69,2161,7.54,0,2009,Australia,Private
Startup_33,AI,5,149.68,740.7,14.99,3812,2.36,0,2021,Europe,Private
Startup_34,AI,1,20.62,108.47,69.57,1306,9.57,0,2013,South America,Private
Startup_35,HealthTech,2,121.87,1434.4,74.62,4168,1.57,1,2006,Australia,Private
Startup_36,Cybersecurity,1,149.49,728.61,98.2,3145,6.83,0,1996,South America,Private
Startup_37,Gaming,3,216.2,1257.15,21.06,3241,2.33,0,1990,Europe,Private
Startup_38,IoT,1,32.42,472.04,82.53,2357,4.37,0,2021,Asia,Private
Startup_39,EdTech,5,42.44,257.34,52.08,1937,7.22,1,2002,Asia,Private
Startup_40,FinTech,4,79.47,869.37,37.41,2726,5.68,1,1995,Europe,Acquired
Startup_41,IoT,1,80.32,1184.2,12.33,369,4.33,0,2003,South America,Private
Startup_42,FinTech,5,219.79,1646.57,73.58,4921,3.33,0,2004,Australia,Private
Startup_43,HealthTech,5,75.59,242.66,23.66,2395,8.41,1,1993,Europe,Private
Startup_44,FinTech,3,190.11,1127.31,37.21,951,1.52,0,2005,North America,Private
Startup_45,AI,5,148.54,1926.64,6.35,1382,4.36,0,2017,South America,Private
Startup_46,Gaming,5,172.2,2303.23,80.16,1444,9.05,1,2005,Asia,Private
Startup_47,EdTech,5,251.51,3074.01,76.68,3185,8.47,1,1993,Europe,IPO
Startup_48,E-Commerce,5,121.61,529.89,73.39,4862,4.07,0,2015,Asia,Private
Startup_49,FinTech,2,231.39,2903.05,30.01,345,7.65,1,2017,South America,Private
Startup_50,IoT,2,126.9,1779.66,17.43,2994,8.25,1,2021,Asia,Private
Startup_51,AI,3,106.48,1086.87,63.79,387,8.9,0,1991,Europe,Acquired
Startup_52,E-Commerce,1,287.61,4110.09,49.67,1561,5.49,1,2020,South America,Private
Startup_53,EdTech,5,55.72,720.02,17.91,304,2.12,1,1992,North America,Private
Startup_54,E-Commerce,1,27.56,303.26,68.62,143,2.63,1,1997,Europe,Acquired
Startup_55,AI,1,231.41,2297.03,99.11,363,3.03,1,2013,Australia,Private
Startup_56,Gaming,3,20.94,150.41,74.75,4936,5.98,0,2004,Europe,IPO
Startup_57,Gaming,5,251.21,1233.81,74.02,1527,0.42,0,2020,South America,Private
Startup_58,Cybersecurity,5,131.44,1348.5,95.04,3461,6.4,0,1998,Europe,Private
Startup_59,Gaming,4,274.7,1872.72,20.37,1632,3.71,0,1991,North America,Private
Startup_60,Cybersecurity,1,216.6,2901.85,56.6,1308,3.02,0,1997,North America,Acquired
Startup_61,E-Commerce,1,183.32,2735.14,97.97,1139,8.81,1,1996,Australia,Private
Startup_62,HealthTech,2,284.82,3426.14,16.61,2191,4.65,1,2005,Asia,IPO
Startup_63,IoT,4,119.3,487.43,70.06,3175,1.04,1,2019,South America,IPO
Startup_64,IoT,2,286.25,1850.39,58.62,3840,8.28,1,1999,South America,Acquired
Startup_65,E-Commerce,2,40.93,176.38,58.69,2156,0.57,1,2007,Asia,Acquired
Startup_66,FinTech,2,145.38,1571.0,69.8,1242,7.29,0,1994,North America,Private
Startup_67,FinTech,3,81.34,990.91,92.97,3740,7.76,0,2018,North America,IPO
Startup_68,Gaming,3,162.18,2288.05,78.28,2839,3.59,0,2012,Europe,Private
Startup_69,IoT,2,49.02,404.81,5.71,4265,8.27,1,1994,Australia,Private
Startup_70,IoT,4,252.54,3489.22,85.29,1003,5.21,0,2019,Australia,Private
Startup_71,Cybersecurity,1,254.0,3437.81,22.63,2572,4.69,1,1995,Australia,Private
Startup_72,HealthTech,4,286.59,1950.63,37.75,1312,0.55,0,1993,Europe,Private
Startup_73,AI,5,46.82,628.64,46.23,661,2.97,1,2018,Australia,Private
Startup_74,FinTech,3,187.19,1405.44,48.14,2665,9.32,1,2012,Asia,Acquired
Startup_75,IoT,1,142.53,935.34,43.57,2216,3.98,1,1995,Europe,Private
Startup_76,Cybersecurity,1,103.64,1118.16,93.74,1914,5.51,1,2021,Asia,Acquired
Startup_77,EdTech,5,105.79,734.24,70.63,3735,5.37,1,2007,Europe,IPO
Startup_78,Cybersecurity,5,124.13,1311.12,63.15,2051,5.95,1,2004,Australia,IPO
Startup_79,FinTech,2,211.63,2183.59,5.08,3167,0.71,1,2021,Asia,Private
Startup_80,FinTech,3,179.69,1754.0,90.4,1145,3.69,1,1998,Asia,Acquired
Startup_81,Cybersecurity,3,138.17,1045.26,90.95,271,7.26,1,1999,Asia,Private
Startup_82,AI,4,23.24,222.69,78.04,1850,2.09,0,2009,Europe,Acquired
Startup_83,E-Commerce,2,23.79,241.65,0.8,1713,2.12,0,1995,South America,Private
Startup_84,FinTech,2,1.2,11.46,5.82,3635,0.2,0,1992,Australia,Acquired
Startup_85,Cybersecurity,2,290.33,2419.33,22.6,3216,4.43,0,2000,Asia,Acquired
Startup_86,IoT,2,2.07,6.57,13.22,2298,8.84,0,2006,South America,Private
Startup_87,Cybersecurity,3,31.38,315.2,39.94,3737,0.61,1,2021,Australia,Acquired
Startup_88,HealthTech,3,94.72,475.62,92.27,3834,1.99,1,1993,Australia,Private
Startup_89,E-Commerce,2,242.33,2595.58,47.26,1515,3.17,1,1993,Asia,Private
Startup_90,EdTech,4,288.65,3496.17,1.44,480,7.34,0,2006,Asia,Acquired
Startup_91,AI,1,237.11,2135.26,28.35,981,6.44,0,2008,Europe,Private
Startup_92,Gaming,1,207.32,1971.27,4.56,1212,4.22,0,1994,South America,IPO
Startup_93,EdTech,4,156.63,2258.25,3.73,1965,7.61,0,2021,South America,Private
Startup_94,E-Commerce,2,26.47,348.5,27.64,562,6.14,0,2011,Asia,Acquired
Startup_95,E-Commerce,3,287.47,4016.2,27.63,887,8.97,0,1995,Australia,Private
Startup_96,E-Commerce,1,227.64,2905.87,78.73,2199,8.2,1,2011,Asia,Acquired
Startup_97,EdTech,5,191.87,826.39,97.49,4766,2.6,1,1990,Australia,Private
Startup_98,IoT,5,227.83,1090.83,37.18,2672,2.79,0,2009,Australia,Private
Startup_99,E-Commerce,4,217.37,2025.78,42.95,4964,1.34,0,2011,Asia,Private
Startup_100,Cybersecurity,2,191.35,1139.08,84.49,4682,3.44,0,2000,North America,Private
Startup_101,EdTech,1,294.18,2565.35,26.89,4795,10.0,0,2002,South America,Private
Startup_102,Gaming,2,271.06,2095.94,15.72,1615,4.12,1,1992,Australia,Private
Startup_103,E-Commerce,1,194.18,1862.76,85.32,3493,2.28,0,1998,Australia,Acquired
Startup_104,Cybersecurity,4,208.11,2489.52,4.75,2459,7.65,0,2001,North America,IPO
Startup_105,IoT,4,15.95,184.79,62.01,4499,5.47,0,2012,Europe,IPO
Startup_106,HealthTech,5,201.14,1861.51,56.24,1951,1.58,0,2003,North America,Private
Startup_107,IoT,2,13.73,176.69,34.66,4815,3.87,1,2022,North America,Private
Startup_108,Gaming,5,176.68,1443.54,31.59,4804,4.2,1,2007,Australia,Private
Startup_109,E-Commerce,2,299.81,4125.56,77.21,2813,7.56,1,1998,South America,Acquired
Startup_110,Gaming,5,166.96,643.69,8.73,3830,0.3,0,2012,North America,Private
Startup_111,EdTech,3,142.23,2056.07,23.75,3541,2.76,0,1999,Europe,Acquired
Startup_112,FinTech,3,94.2,1022.67,73.27,3807,5.22,0,2008,Asia,Private
Startup_113,E-Commerce,3,36.6,276.73,54.88,4182,2.76,1,1994,North America,Private
Startup_114,FinTech,3,219.44,1177.48,12.89,4704,6.32,0,2012,North America,Private
Startup_115,Cybersecurity,1,58.18,509.09,88.23,1975,4.87,0,2019,Europe,Private
Startup_116,HealthTech,3,35.03,186.87,39.41,3827,3.68,1,2014,South America,Private
Startup_117,AI,4,126.82,633.59,82.8,2824,9.5,1,2017,North America,Acquired
Startup_118,Gaming,4,238.7,2484.44,78.79,907,6.36,0,2014,North America,Private
Startup_119,IoT,1,223.65,2074.8,62.48,369,1.39,0,1999,South America,Acquired
Startup_120,HealthTech,3,16.94,187.04,49.5,4263,5.64,0,2003,Europe,Private
Startup_121,E-Commerce,3,136.82,1936.72,97.96,3124,7.83,1,2019,North America,Private
Startup_122,FinTech,3,156.97,1473.5,14.58,2563,7.11,0,2014,South America,Acquired
Startup_123,IoT,5,193.54,1929.82,72.54,1868,1.8,1,2003,North America,IPO
Startup_124,FinTech,2,195.23,795.66,19.2,120,9.73,0,1999,Asia,Private
Startup_125,EdTech,5,109.73,1274.14,33.89,2389,4.54,1,2000,Australia,Private
Startup_126,FinTech,2,168.42,1313.48,30.94,4981,1.67,1,2000,Asia,Private
Startup_127,EdTech,3,144.58,2128.32,94.71,3940,1.88,0,2010,North America,Acquired
Startup_128,Cybersecurity,3,265.56,3419.91,96.74,4940,1.07,1,2010,Europe,Acquired
Startup_129,IoT,5,159.31,1476.77,18.38,2495,8.05,0,2011,Australia,Private
Startup_130,IoT,5,132.59,593.83,2.3,947,1.31,1,1996,Asia,Private
Startup_131,AI,2,121.64,1619.39,72.03,1729,1.34,1,2006,South America,Acquired
Startup_132,E-Commerce,4,171.94,2165.99,41.86,2339,8.52,0,1991,Europe,Private
Startup_133,EdTech,2,241.29,1258.33,8.98,2772,3.51,1,2001,Asia,Acquired
Startup_134,AI,5,161.75,1058.39,68.41,1142,0.41,1,2007,South America,Private
Startup_135,FinTech,5,198.67,2487.52,54.56,2532,0.61,0,2000,North America,Private
Startup_136,FinTech,1,221.49,1156.78,98.05,4122,1.51,0,2005,South America,Private
Startup_137,AI,5,156.29,2190.1,22.82,3425,2.21,1,2007,Asia,Private
Startup_138,IoT,1,128.33,1038.75,40.46,4783,6.68,1,2015,Asia,Private
Startup_139,FinTech,4,263.06,1063.94,54.3,3911,1.66,0,2005,North America,Acquired
Startup_140,Gaming,2,125.54,1605.53,79.19,3642,1.28,0,1995,South America,Acquired
Startup_141,Cybersecurity,2,138.85,1038.89,54.93,2958,7.67,0,2001,South America,Private
Startup_142,Cybersecurity,1,297.11,2768.47,61.33,2372,6.74,0,2002,North America,Private
Startup_143,Gaming,2,0.57,2.48,22.69,4226,4.41,0,1993,South America,Private
Startup_144,AI,5,56.05,169.89,84.71,281,5.54,1,1991,North America,Private
Startup_145,Gaming,3,115.5,1230.75,42.92,2004,3.19,0,2015,Europe,Private
Startup_146,EdTech,1,279.81,2569.24,14.18,1232,4.88,1,2016,Asia,Acquired
Startup_147,EdTech,2,21.47,217.33,66.45,3757,5.12,0,2016,Europe,Private
Startup_148,AI,1,3.34,41.83,21.69,3740,3.93,0,2004,Australia,Private
Startup_149,Gaming,1,16.28,175.16,9.85,700,9.08,0,1997,Australia,Private
Startup_150,EdTech,3,27.02,137.73,86.21,1314,0.26,0,1996,Australia,Private
Startup_151,IoT,5,11.76,86.19,46.07,4157,7.84,1,2001,North America,Acquired
Startup_152,Gaming,1,144.19,2000.02,74.95,3239,1.33,1,2002,South America,Private
Startup_153,IoT,2,174.44,2135.03,29.13,4119,8.0,1,2006,Europe,Private
Startup_154,EdTech,4,81.87,792.47,78.72,2316,6.2,1,2006,Europe,Private
Startup_155,Cybersecurity,1,119.79,726.85,11.28,2846,8.45,1,2010,Europe,Acquired
Startup_156,EdTech,1,27.96,185.23,35.66,4213,1.07,0,1997,Europe,Acquired
Startup_157,IoT,3,101.24,1192.96,97.81,3564,5.63,1,1994,Australia,IPO
Startup_158,HealthTech,5,156.99,2074.48,79.42,3403,5.06,1,2015,Europe,IPO
Startup_159,E-Commerce,4,219.82,2430.57,49.78,546,7.09,0,2005,South America,Private
Startup_160,FinTech,2,1.5,19.07,34.04,2699,5.39,1,2017,Australia,Private
Startup_161,Gaming,4,140.46,1713.59,87.23,4679,5.45,0,2018,Europe,Private
Startup_162,HealthTech,2,89.45,429.04,54.53,1093,4.35,0,2001,North America,Private
Startup_163,EdTech,5,255.92,2069.71,75.87,3368,3.16,1,2019,Asia,Private
Startup_164,Cybersecurity,2,214.81,1038.78,75.44,29,4.87,0,2012,Asia,IPO
Startup_165,AI,3,176.94,1030.29,1.89,1577,1.27,0,2005,Asia,Private
Startup_166,EdTech,3,83.54,1122.04,12.71,2963,9.62,1,2003,Australia,Private
Startup_167,Cybersecurity,3,273.15,2369.5,66.0,4241,7.17,1,1999,Europe,Acquired
Startup_168,E-Commerce,3,14.01,132.03,16.25,1772,9.53,0,1996,Australia,Acquired
Startup_169,EdTech,4,33.29,171.16,25.62,4748,2.34,1,2018,South America,Private
Startup_170,IoT,5,117.79,794.76,94.67,2240,8.81,0,1992,North America,Private
Startup_171,AI,2,37.77,217.67,56.06,205,8.11,0,2004,North America,Private
Startup_172,Cybersecurity,2,286.95,1570.83,75.1,3203,6.8,1,2008,Asia,Acquired
Startup_173,Cybersecurity,3,239.5,2552.0,55.84,261,6.29,1,2002,Asia,Private
Startup_174,Cybersecurity,3,78.07,474.87,55.3,3752,3.23,0,2010,Asia,Private
Startup_175,E-Commerce,1,176.77,1870.97,9.51,4647,8.18,1,2016,Europe,Acquired
Startup_176,EdTech,5,294.71,1090.86,34.43,2246,5.07,1,2018,South America,Private
Startup_177,E-Commerce,4,265.32,1247.35,28.31,3180,0.8,0,2009,South America,IPO
Startup_178,Gaming,2,180.44,1135.78,39.13,3611,3.2,0,2014,South America,Private
Startup_179,FinTech,1,271.17,2756.32,79.85,3341,9.36,0,1995,South America,Acquired
Startup_180,FinTech,1,296.76,3297.03,37.26,4902,8.52,1,1991,Asia,Acquired
Startup_181,Gaming,2,223.13,1854.79,45.22,418,9.82,1,2011,North America,IPO
Startup_182,EdTech,4,19.96,166.66,39.8,2019,6.32,1,2021,Asia,Acquired
Startup_183,IoT,1,120.77,1412.31,9.43,1386,2.55,1,2005,South America,Private
Startup_184,E-Commerce,1,251.43,802.02,44.16,1103,1.71,1,2007,Asia,Acquired
Startup_185,AI,5,69.56,493.39,19.64,3431,1.95,0,1994,South America,Private
Startup_186,Cybersecurity,4,249.28,3196.89,18.75,3660,0.3,0,2019,Australia,Acquired
Startup_187,Cybersecurity,1,36.54,374.12,9.49,914,3.97,0,2008,North America,Private
Startup_188,EdTech,4,14.56,102.6,35.73,192,2.0,0,2012,Australia,Private
Startup_189,IoT,2,115.54,1602.11,75.77,4049,4.18,1,2002,Europe,Acquired
Startup_190,FinTech,3,11.5,141.12,27.72,3761,9.36,1,2018,Asia,Private
Startup_191,FinTech,1,287.2,1774.54,31.3,2020,4.36,0,2011,Europe,IPO
Startup_192,Cybersecurity,5,247.95,2663.85,64.3,2097,8.79,0,1998,Asia,Private
Startup_193,EdTech,2,240.33,2439.11,19.66,3649,6.09,1,2008,Australia,Private
Startup_194,E-Commerce,4,189.12,1477.83,89.71,2135,2.55,0,1995,South America,Private
Startup_195,FinTech,2,65.29,483.37,52.07,362,3.62,0,2004,South America,Private
Startup_196,E-Commerce,1,155.72,1109.15,44.82,2427,0.93,0,2009,Asia,Private
Startup_197,IoT,4,179.38,1866.6,55.83,4262,3.4,0,1998,South America,Acquired
Startup_198,FinTech,3,157.75,1310.73,16.69,4550,6.81,1,2021,Australia,Acquired
Startup_199,FinTech,2,78.44,1018.34,61.39,1502,0.81,0,1993,South America,Private
Startup_200,HealthTech,1,154.82,1708.47,36.37,2163,2.13,0,2007,Australia,Private
Startup_201,FinTech,5,147.61,566.7,89.73,2560,3.88,0,1994,Europe,Private
Startup_202,Gaming,4,298.9,3192.86,16.97,2347,9.82,1,2009,Australia,Private
Startup_203,AI,2,269.28,1684.01,50.75,2956,7.87,0,2012,North America,Private
Startup_204,Gaming,2,139.28,1408.64,59.85,1243,7.36,0,2000,North America,Private
Startup_205,EdTech,3,187.07,2088.0,3.44,978,1.25,0,2011,North America,Private
Startup_206,EdTech,3,224.49,1295.3,36.43,4732,7.83,0,1993,Asia,Private
Startup_207,E-Commerce,5,10.94,92.8,73.29,3970,7.87,0,2018,Asia,Private
Startup_208,Gaming,5,268.53,1418.89,82.06,1055,6.05,1,2002,Asia,Acquired
Startup_209,Gaming,1,258.11,936.44,31.38,3706,9.9,0,1998,Australia,IPO
Startup_210,Gaming,1,137.5,1036.99,79.88,2785,3.32,0,2020,Asia,Private
Startup_211,IoT,5,117.66,865.43,96.78,1593,9.42,1,1996,Europe,IPO
Startup_212,FinTech,5,82.25,1229.29,85.7,3883,9.16,0,1993,North America,Private
Startup_213,AI,4,143.26,1197.11,11.85,2373,0.21,0,2008,Australia,Private
Startup_214,E-Commerce,3,13.79,96.57,74.0,441,4.56,0,2019,North America,Private
Startup_215,Gaming,1,255.73,2548.53,32.03,2833,9.77,1,2020,Asia,Private
Startup_216,Gaming,3,11.11,45.16,98.84,1561,1.12,0,2010,Australia,Private
Startup_217,HealthTech,3,99.05,1440.19,48.59,3863,5.52,1,2020,South America,Private
Startup_218,E-Commerce,5,279.51,2968.26,12.33,1309,9.79,1,2008,Europe,Private
Startup_219,Gaming,4,220.7,2661.21,72.55,2389,5.6,0,2020,Asia,Private
Startup_220,E-Commerce,2,84.78,427.78,32.37,187,1.98,1,2021,Asia,Private
Startup_221,FinTech,4,76.17,602.79,99.71,1594,5.86,0,1991,Europe,Private
Startup_222,HealthTech,4,2.02,16.31,97.98,1592,2.12,0,1999,Europe,Private
Startup_223,E-Commerce,3,208.87,2686.42,65.65,664,5.25,1,1991,South America,Private
Startup_224,AI,4,15.11,45.55,13.07,164,0.83,1,1991,Asia,Private
Startup_225,AI,1,160.01,1057.7,68.72,3958,6.09,1,2013,Asia,Private
Startup_226,EdTech,3,288.66,4264.9,9.39,1016,5.22,0,2006,North America,Private
Startup_227,HealthTech,1,33.29,289.58,3.03,57,7.43,0,2021,Australia,Private
Startup_228,HealthTech,2,268.4,2037.24,82.31,2312,6.34,1,2005,Australia,Private
Startup_229,EdTech,3,297.45,1320.07,21.05,1233,5.54,0,2005,North America,Private
Startup_230,E-Commerce,2,18.92,277.93,37.96,1040,6.93,0,2020,Australia,Private
Startup_231,HealthTech,3,264.93,858.46,97.35,3707,1.53,0,2013,Europe,Private
Startup_232,AI,5,155.07,1836.98,33.75,4050,5.99,0,1990,Australia,Private
Startup_233,AI,4,272.0,3324.71,29.72,4950,1.8,1,2000,Australia,Private
Startup_234,Gaming,5,171.61,1016.6,91.83,4454,9.26,0,2010,North America,Private
Startup_235,FinTech,2,198.8,2198.47,11.16,1269,0.78,1,1993,South America,Acquired
Startup_236,HealthTech,4,163.36,672.25,75.98,1889,4.36,0,1996,Australia,Private
Startup_237,E-Commerce,3,259.42,1578.46,98.81,1814,6.99,1,2015,Australia,Private
Startup_238,EdTech,4,220.31,2743.92,90.14,3172,4.63,0,2001,South America,Private
Startup_239,EdTech,1,156.62,2094.99,65.2,3802,1.01,0,2020,North America,Private
Startup_240,E-Commerce,4,260.51,2683.73,31.47,2346,5.58,0,2006,South America,Private
Startup_241,IoT,1,73.96,671.71,25.51,3419,6.45,0,2022,North America,Private
Startup_242,Cybersecurity,4,47.62,233.89,81.94,822,7.07,0,2000,Europe,Acquired
Startup_243,FinTech,1,48.54,182.38,87.99,2442,3.8,1,2017,North America,Private
Startup_244,EdTech,2,100.54,443.56,52.59,893,5.68,1,2021,Europe,Private
Startup_245,HealthTech,5,71.99,412.38,24.51,672,4.56,0,1990,Europe,IPO
Startup_246,FinTech,3,279.06,1981.35,11.38,4733,6.75,0,2017,North America,IPO
Startup_247,HealthTech,4,32.2,243.78,8.81,2629,5.88,0,1996,Asia,Private
Startup_248,IoT,5,209.85,1501.66,71.94,4237,5.3,0,1991,North America,Private
Startup_249,AI,3,57.17,335.51,42.07,4528,2.57,1,2013,Australia,IPO
